"","...1","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"257",513,"ACO2","PA",0.6691561,0.0696929,"no hit"
"258",515,"YWHAG","PA",-0.4642422,0.0697281,"no hit"
"259",517,"ETFA","PA",0.7791291,0.0700165,"no hit"
"260",519,"WDR1","PA",1.1206443,0.0702509,"no hit"
"261",521,"SHMT2","PA",1.1096423,0.071513,"no hit"
"262",523,"GNG5","PA",0.5357813,0.0717179,"no hit"
"263",525,"AP1B1","PA",-0.4693235,0.0726385,"no hit"
"264",527,"RAB31","PA",0.475915,0.0729057,"no hit"
"265",529,"RBBP4","PA",0.542319,0.0732154,"no hit"
"266",531,"ATP1A1","PA",0.568779,0.0735322,"no hit"
"267",533,"SDHA","PA",0.9086139,0.0736665,"no hit"
"268",535,"POR","PA",0.6752719,0.0747595,"no hit"
"269",537,"EIF5A","PA",-1.3670257,0.0755064,"no hit"
"270",539,"LIFR","PA",0.4648637,0.0757462,"no hit"
"271",541,"MME","PA",-0.4869324,0.0762257,"no hit"
"272",543,"ITGA5","PA",0.6907537,0.0768046,"no hit"
"273",545,"SFXN1","PA",0.8439585,0.0772622,"no hit"
"274",547,"PPA1","PA",-0.9022483,0.077474,"no hit"
"275",549,"RAP2C","PA",0.4012618,0.077979,"no hit"
"276",551,"GLO1","PA",-0.9432437,0.0804913,"no hit"
"277",553,"PA2G4","PA",-1.0323648,0.0813144,"no hit"
"278",555,"DSG2","PA",0.5092099,0.0815305,"no hit"
"279",557,"LAMC1","PA",0.5137819,0.0816605,"no hit"
"280",559,"GSTM3","PA",-0.7007375,0.0820878,"no hit"
"281",561,"GOT2","PA",0.8470544,0.0823144,"no hit"
"282",563,"SLC43A3","PA",0.5485201,0.0826897,"no hit"
"283",565,"OXCT1","PA",0.659515,0.083171,"no hit"
"284",567,"CS","PA",1.4016306,0.0834149,"no hit"
"285",569,"PRDX1","PA",-0.8641678,0.0842449,"no hit"
"286",571,"USP14","PA",-0.602144,0.0850444,"no hit"
"287",573,"RMDN1","PA",0.7151034,0.08528,"no hit"
"288",575,"PGK1","PA",-0.7322022,0.0870973,"no hit"
"289",577,"BUB3","PA",-0.4248345,0.0872845,"no hit"
"290",579,"HSP90B1","PA",0.8768021,0.0874302,"no hit"
"291",581,"UBXN4","PA",0.5163635,0.0887183,"no hit"
"292",583,"CAPZA1","PA",-0.5595352,0.088927,"no hit"
"293",585,"ACSL3","PA",1.0994523,0.0890577,"no hit"
"294",587,"SLC44A2","PA",0.8047551,0.0904399,"no hit"
"295",589,"PEBP1","PA",-1.0342547,0.0915596,"no hit"
"296",591,"TRMT10C","PA",0.7804957,0.0921464,"no hit"
"297",593,"NEGR1","PA",0.3925125,0.0943592,"no hit"
"298",595,"MLEC","PA",0.5586669,0.0946951,"no hit"
"299",597,"QARS","PA",0.3944565,0.0972788,"no hit"
"300",599,"ENO1","PA",-0.6567392,0.0973372,"no hit"
"301",601,"GDA","PA",-0.6464967,0.0986695,"no hit"
"302",603,"RPS28","PA",-0.6225026,0.0987896,"no hit"
"303",605,"ARFGAP1","PA",-0.5605887,0.0993044,"no hit"
"304",607,"ECI1","PA",0.8083904,0.1000294,"no hit"
"305",609,"DAG1","PA",0.6328029,0.1001741,"no hit"
"306",611,"F11R","PA",0.6703346,0.1011202,"no hit"
"307",613,"TUFM","PA",1.1617206,0.1027527,"no hit"
"308",615,"HSPA1B|HSPA1A","PA",-0.4351823,0.1032678,"no hit"
"309",617,"MAT2A","PA",-0.6444786,0.1032697,"no hit"
"310",619,"SLC1A5","PA",0.4066043,0.1039616,"no hit"
"311",621,"ALDH3A2","PA",0.7284483,0.104558,"no hit"
"312",623,"PRDX3","PA",1.1454577,0.1060583,"no hit"
"313",625,"CLINT1","PA",-1.0843148,0.1061654,"no hit"
"314",627,"CAPN2","PA",-0.4646363,0.1093045,"no hit"
"315",629,"CD59","PA",0.5405265,0.1099009,"no hit"
"316",631,"ATL2","PA",0.5416945,0.1101676,"no hit"
"317",633,"EIF3M","PA",-0.5956659,0.1116491,"no hit"
"318",635,"MYDGF","PA",0.64111,0.1119904,"no hit"
"319",637,"CAPRIN1","PA",-1.1131676,0.113929,"no hit"
"320",639,"DLD","PA",0.9607469,0.1139656,"no hit"
"321",641,"RAN","PA",-0.3879245,0.1141586,"no hit"
"322",643,"GIGYF2","PA",-0.8588753,0.1155944,"no hit"
"323",645,"DSP","PA",-0.7004315,0.1169136,"no hit"
"324",647,"LSS","PA",0.3643852,0.1178693,"no hit"
"325",649,"CDH10","PA",0.5228095,0.1191043,"no hit"
"326",651,"SLC38A5","PA",0.5757868,0.1195638,"no hit"
"327",653,"USP10","PA",-0.7552357,0.1196238,"no hit"
"328",655,"MCAM","PA",0.7428621,0.1198088,"no hit"
"329",657,"MSN","PA",1.4877823,0.1198543,"no hit"
"330",659,"TLN1","PA",0.4964995,0.1200941,"no hit"
"331",661,"ALG5","PA",0.6799184,0.120567,"no hit"
"332",663,"SUPT16H","PA",0.3565489,0.1207534,"no hit"
"333",665,"CCT8","PA",0.5130406,0.121007,"no hit"
"334",667,"MMP15","PA",0.4099008,0.1213524,"no hit"
"335",669,"ADAM9","PA",0.4688802,0.1214535,"no hit"
"336",671,"TAPBP","PA",0.5379738,0.1215162,"no hit"
"337",673,"BZW2","PA",-0.5642821,0.1219288,"no hit"
"338",675,"DDOST","PA",0.587256,0.122585,"no hit"
"339",677,"EPB41L2","PA",0.9540247,0.1226985,"no hit"
"340",679,"SUCLG2","PA",0.8475886,0.1232421,"no hit"
"341",681,"LRPPRC","PA",0.8803241,0.1235478,"no hit"
