"","...1","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"356",712,"EIF4A1","PE",-1.492122,0.0422135,"no hit"
"357",714,"HSPA5","PE",1.0473646,0.044453,"enriched candidate"
"358",716,"ARL15","PE",0.4453741,0.1151489,"no hit"
"359",718,"FAM234A","PE",0.1647107,0.604106,"no hit"
"360",720,"SGTA","PE",-1.094996,0.0233942,"no hit"
"361",722,"ACTR3","PE",0.7582484,0.1181581,"no hit"
"362",724,"GPX8","PE",0.8794929,0.097955,"no hit"
"363",726,"NSDHL","PE",0.9967437,0.0211687,"enriched candidate"
"364",728,"SAE1","PE",-0.9734499,0.0420202,"no hit"
"365",730,"TPI1","PE",-1.3146029,0.0324097,"no hit"
"366",732,"GNB2","PE",1.1148611,0.0798367,"no hit"
"367",734,"PHB","PE",1.5166908,0.0315096,"enriched candidate"
"368",736,"ALDOC","PE",-0.3477376,0.2629377,"no hit"
"369",738,"DNPH1","PE",-0.8279897,0.0330101,"no hit"
"370",740,"BSG","PE",0.5553078,0.2827719,"no hit"
"371",742,"NUDT21","PE",0.4548815,0.0391836,"no hit"
"372",744,"CNOT1","PE",-1.1739267,0.0829808,"no hit"
"373",746,"EZR","PE",0.9549854,0.2428373,"no hit"
"374",748,"RPS12","PE",-0.8568059,0.021143,"no hit"
"375",750,"ERP29","PE",1.0042259,0.0859217,"no hit"
"376",752,"RHOA","PE",0.1425033,0.5409533,"no hit"
"377",754,"FLOT1","PE",0.7289149,0.1448243,"no hit"
"378",756,"KDELC2","PE",0.50897,0.1262608,"no hit"
"379",758,"GCN1","PE",-1.3456809,0.0604547,"no hit"
"380",760,"STX6","PE",-0.5070005,0.0466926,"no hit"
"381",762,"GSS","PE",-0.7431179,0.0705628,"no hit"
"382",764,"RPS10","PE",-1.6051252,0.0265737,"no hit"
"383",766,"CPM","PE",0.6217837,0.1388656,"no hit"
"384",768,"NAA15","PE",-1.2229087,0.1184855,"no hit"
"385",770,"SBDS","PE",-0.9443653,0.0514816,"no hit"
"386",772,"DKFZp566H1924|NPTN","PE",0.6960397,0.2086499,"no hit"
"387",774,"CNP","PE",0.9573946,0.2052775,"no hit"
"388",776,"PLOD3","PE",0.7502766,0.128765,"no hit"
"389",778,"SYNGR2","PE",-0.7269089,0.081305,"no hit"
"390",780,"TUBB","PE",-0.768917,0.0802265,"no hit"
"391",782,"HSPD1","PE",1.912191,0.0056146,"enriched hit"
"392",784,"TPP2","PE",0.9129634,0.1146645,"no hit"
"393",786,"PSME2","PE",-0.7246149,0.1284819,"no hit"
"394",788,"TMEM43","PE",0.6961019,0.0082253,"enriched candidate"
"395",790,"FOLR1","PE",0.5161595,0.2926925,"no hit"
"396",792,"MDH1","PE",-0.7207143,0.0593683,"no hit"
"397",794,"PMPCB","PE",1.0407801,0.0340044,"enriched candidate"
"398",796,"COLGALT1","PE",0.9915497,0.0972406,"no hit"
"399",798,"ARPC3","PE",0.3898731,0.141171,"no hit"
"400",800,"ATP5H","PE",1.3281275,0.0266435,"enriched candidate"
"401",802,"LGALS1","PE",0.377091,0.2036356,"no hit"
"402",804,"RTN4RL2","PE",0.1716733,0.585125,"no hit"
"403",806,"CAPZA2","PE",-0.2204797,0.31965,"no hit"
"404",808,"TPM3|DKFZp686J1372","PE",0.7849955,0.090711,"no hit"
"405",810,"FAM120A","PE",-1.000394,0.044513,"no hit"
"406",812,"ATP11C","PE",0.3856727,0.1110997,"no hit"
