"","gene_name","LipidProbe","logFC","pvalue","hit_annotation"
"263","RDH11","PA",0.9828302,0.0190882,"enriched candidate"
"264","RDH11","PE",1.1454376,0.0076554,"enriched hit"
"265","STEAP4","PA",0.6904106,0.0192346,"enriched candidate"
"266","STEAP4","PE",0.7080156,0.0167519,"enriched candidate"
"267","RAB35","PA",0.9938404,0.0195449,"enriched candidate"
"268","RAB35","PE",1.3126777,0.0032748,"enriched hit"
"269","NUDT5","PA",-1.1725917,0.0196409,"no hit"
"270","NUDT5","PE",-1.1996755,0.0173414,"no hit"
"271","HPD","PA",-0.8261069,0.0197387,"no hit"
"272","HPD","PE",-1.1001446,0.0031206,"no hit"
"273","FH","PA",1.0869163,0.0201251,"enriched candidate"
"274","FH","PE",1.9067402,0.0002889,"enriched hit"
"275","STX4","PA",1.1623278,0.0204003,"enriched candidate"
"276","STX4","PE",1.1191094,0.0248381,"enriched candidate"
"277","PPP2CA","PA",-0.6038101,0.0204561,"no hit"
"278","PPP2CA","PE",-0.5655153,0.0285701,"no hit"
"279","CMBL","PA",-0.8246131,0.0205955,"no hit"
"280","CMBL","PE",-1.0986435,0.0033027,"no hit"
"281","AXL","PA",0.6605263,0.0211588,"enriched candidate"
"282","AXL","PE",0.711685,0.013998,"enriched candidate"
"283","RAB18","PA",-0.6475098,0.0215452,"no hit"
"284","RAB18","PE",-0.6559605,0.0201149,"no hit"
"285","NUTF2","PA",-0.8619663,0.0218436,"no hit"
"286","NUTF2","PE",-0.9661471,0.0114805,"no hit"
"287","LDHB","PA",-1.0726842,0.0218544,"no hit"
"288","LDHB","PE",-1.2577723,0.0086771,"no hit"
"289","ABHD14B","PA",-0.8417298,0.0225916,"no hit"
"290","ABHD14B","PE",-0.8629057,0.0198159,"no hit"
"291","GSTO1","PA",-1.4148474,0.0227676,"no hit"
"292","GSTO1","PE",-1.6603257,0.0090753,"no hit"
"293","SCCPDH","PA",0.7664889,0.0228555,"enriched candidate"
"294","SCCPDH","PE",1.0578445,0.0029388,"enriched hit"
"295","GDI2","PA",-0.6969195,0.0232498,"no hit"
"296","GDI2","PE",-0.6372051,0.0359314,"no hit"
"297","PNP","PA",-0.8627469,0.0232774,"no hit"
"298","PNP","PE",-1.0972216,0.0054741,"no hit"
"299","PRSS21","PA",0.6963114,0.0233809,"enriched candidate"
"300","PRSS21","PE",0.9508782,0.0032925,"enriched candidate"
"301","ANP32B","PA",-1.3860798,0.0236871,"no hit"
"302","ANP32B","PE",-1.4036057,0.0221968,"no hit"
"303","SLC25A6","PA",1.1797124,0.0238151,"enriched candidate"
"304","SLC25A6","PE",1.7670341,0.0016322,"enriched hit"
"305","CPS1","PA",1.0270738,0.0239479,"enriched candidate"
"306","CPS1","PE",1.6495991,0.0009057,"enriched hit"
"307","ANP32A","PA",-1.1868057,0.0244341,"no hit"
"308","ANP32A","PE",-1.0616081,0.0413937,"no hit"
"309","AIFM1","PA",1.0483436,0.0246193,"enriched candidate"
"310","AIFM1","PE",1.7119607,0.0008197,"enriched hit"
"311","TXN","PA",-0.8956316,0.0247717,"no hit"
"312","TXN","PE",-1.040575,0.0107042,"no hit"
"313","YWHAB","PA",-0.8802779,0.0248553,"no hit"
"314","YWHAB","PE",-1.1334477,0.005492,"no hit"
"315","PDHB","PA",1.06992,0.0248684,"enriched candidate"
"316","PDHB","PE",1.7764359,0.0007183,"enriched hit"
"317","PTGES","PA",0.5018075,0.025071,"no hit"
"318","PTGES","PE",0.5596113,0.0138701,"no hit"
"319","PTPRJ","PA",0.5950299,0.0251618,"enriched candidate"
"320","PTPRJ","PE",0.5901194,0.0262311,"enriched candidate"
"321","CLPTM1L","PA",1.0283125,0.0256774,"enriched candidate"
"322","CLPTM1L","PE",1.5259723,0.0019886,"enriched hit"
"323","SCAMP3","PA",-0.6761965,0.0257679,"no hit"
