gene_name,protein_id,LipidProbe,hit_annotation,logFC,pvalue,AveExpr,fdr
EPRS,P07814,1-10 FA,no hit,-0.319509501,0.081266043,26.375082,0.161815454
GOLIM4,F8W785|O00461,1-10 FA,no hit,0.363196104,0.081597597,23.6025322,0.16218959
WDR77,Q9BQA1|Q9BQA1-2,1-10 FA,no hit,-0.292617624,0.082290892,22.86587834,0.16328017
VDAC1,C9JI87|P21796,1-10 FA,no hit,0.463969909,0.08260764,23.40203553,0.163621098
EIF4G2,D3DQV9|H0Y3P2|P78344|P78344-2,1-10 FA,no hit,-0.243421417,0.083312032,25.35333827,0.164727293
CORO1C,Q9ULV4|Q9ULV4-2|Q9ULV4-3,1-10 FA,no hit,0.223161784,0.083815158,25.3861627,0.165432367
ITGB1,P05556,1-10 FA,no hit,0.344520507,0.084273616,24.91969303,0.165839493
CBR1,P16152,1-10 FA,no hit,-0.55241564,0.084315207,23.85607473,0.165839493
STIP1,P31948|P31948-2,1-10 FA,no hit,-0.316943652,0.084495541,26.046421,0.165905159
DDX5,J3KTA4|P17844|P17844-2,1-10 FA,no hit,0.389032617,0.084653055,26.04588162,0.165925867
PML,P29590|P29590-2|P29590-3|P29590-4|P29590-5|P29590-8|P29590-9,1-10 FA,no hit,0.233082364,0.084992637,24.87177426,0.166302752
TLN1,Q9Y490,1-10 FA,no hit,-0.24977225,0.085891482,27.4105613,0.167770732
TXN,P10599,1-10 FA,no hit,-0.439382415,0.086296165,23.30491444,0.168270069
GLRX3,O76003,1-10 FA,no hit,-0.36123887,0.08672158,23.56934173,0.168808042
HSPE1,B8ZZL8|P61604,1-10 FA,no hit,0.326898675,0.086944875,24.12183501,0.168951401
WDR1,O75083,1-10 FA,no hit,-0.294261277,0.087997941,26.4694716,0.17070391
ITGB3,P05106,1-10 FA,no hit,0.425216379,0.088224782,22.83446884,0.170850393
SMU1,Q2TAY7,1-10 FA,no hit,0.279822611,0.088413701,24.76683053,0.170923063
NUP214,P35658|P35658-2|P35658-3|P35658-4|P35658-5,1-10 FA,no hit,0.23393802,0.089420093,24.3170445,0.172229902
GRSF1,F5H5I6|H0Y8R1|H0YAK1|H0YAM1|Q12849|Q12849-5,1-10 FA,no hit,0.296058461,0.089422322,23.41008489,0.172229902
ECHS1,P30084,1-10 FA,no hit,0.293663587,0.089547345,23.89288135,0.172229902
HNRNPH1,E9PCY7|G8JLB6|P31943,1-10 FA,no hit,0.252809201,0.090367695,24.45872838,0.17345932
APEH,C9JIF9|P13798,1-10 FA,no hit,-0.594651552,0.090493835,23.3903407,0.17345932
MYLK,Q15746|Q15746-6,1-10 FA,no hit,0.225799516,0.091301962,25.36161,0.174711721
GBE1,E9PGM4|Q04446,1-10 FA,no hit,-0.295432549,0.091871428,23.09969261,0.175503963
PDCD11,Q14690,1-10 FA,no hit,0.299395072,0.092410154,24.3706453,0.176234905
GLS,O94925-3,1-10 FA,no hit,0.472320768,0.09259061,26.03441667,0.176281279
HNRNPU,Q00839,1-10 FA,no hit,0.367701178,0.093164938,26.11251954,0.176527759
SDHB,A0A087WWT1|A0A087WXX8|P21912,1-10 FA,no hit,0.469711951,0.093182672,22.62923655,0.176527759
E7EVH7|KLC1,E7EVH7|F8W6L3|G3V2E7|G3V3H3|G3V5R9|G5E9S8|Q07866|Q07866-10|Q07866-2|Q07866-3|Q07866-4|Q07866-5|Q07866-6|Q07866-7|Q07866-8|Q07866-9,1-10 FA,no hit,-0.252527608,0.093311671,23.44629707,0.176527759
GTPBP4,Q9BZE4|Q9BZE4-2,1-10 FA,no hit,0.279951131,0.093345502,23.39514124,0.176527759
DNAJC7,Q99615,1-10 FA,no hit,-0.253985389,0.0939999,23.67294842,0.17746804
ERP29,P30040,1-10 FA,enriched candidate,0.59592813,0.094595957,24.79256704,0.178051562
NPM1,P06748|P06748-2,1-10 FA,no hit,0.330176431,0.094726606,26.47973213,0.178051562
TOP1,P11387,1-10 FA,no hit,0.303622097,0.094782098,23.0361882,0.178051562
UTP4,H3BSH7|Q969X6|Q969X6-3,1-10 FA,no hit,0.37959825,0.095131302,23.72506927,0.178410698
MDH1,B9A041|P40925|P40925-2|P40925-3,1-10 FA,no hit,-0.40243982,0.095796899,24.29711868,0.179361026
PAOX,Q6QHF9|Q6QHF9-2,1-10 FA,no hit,0.2572346,0.096384263,22.85580752,0.179941418
PCYT2,I3L1L9|I3L1R7|I3L2Q1|Q99447|Q99447-3,1-10 FA,no hit,-0.383318389,0.096425649,22.5328602,0.179941418
CALR,P27797,1-10 FA,no hit,0.516900813,0.097997823,27.90163873,0.182573502
HDGF,P51858|P51858-2|P51858-3,1-10 FA,no hit,-0.383633335,0.098307955,24.150854,0.182849557
TOP2B,E9PCY5|Q02880|Q02880-2,1-10 FA,no hit,0.258010829,0.098521668,24.34286506,0.182945662
2-Sep,B5MCX3|C9J2Q4|Q15019|Q15019-2,1-10 FA,no hit,-0.185344417,0.099830979,23.74692804,0.185072537
ALDH7A1,P49419|P49419-2,1-10 FA,no hit,0.186887944,0.100604751,26.35839581,0.186201252
SKIV2L2,P42285,1-10 FA,no hit,0.263613766,0.101225789,24.82642675,0.187044051
NAA16,Q6N069,1-10 FA,no hit,0.191095707,0.102197973,24.30431517,0.188531882
RBM14,Q96PK6,1-10 FA,no hit,0.24801416,0.102515325,23.81126893,0.188808812
ILF3,Q12906|Q12906-2|Q12906-3|Q12906-4|Q12906-5|Q12906-6|Q12906-7,1-10 FA,no hit,0.273160024,0.10333709,25.82822834,0.190012336
DCTN1,E7EX90|Q14203|Q14203-2|Q14203-3|Q14203-4|Q14203-5|Q14203-6,1-10 FA,no hit,-0.206331425,0.103708129,25.47781186,0.190384517
ATP5B,F8W0P7|P06576,1-10 FA,no hit,0.247577945,0.104045145,27.28950456,0.19060652
EIF3M,Q7L2H7,1-10 FA,no hit,-0.265194424,0.104166717,23.6765552,0.19060652
MARS2,Q96GW9,1-10 FA,no hit,0.228524907,0.104400078,23.23500873,0.190712654
SPAG9,A0A087X2D8|O60271|O60271-2|O60271-4,1-10 FA,no hit,-0.314402527,0.104647735,24.46298673,0.190712654
CTSB,P07858,1-10 FA,no hit,0.297003431,0.104731484,24.31622665,0.190712654
