"","LipidProbe","gene_name","hit_annotation","logFC","pvalue","fdr"
"235","PA","KPNB1","no hit",-0.6698115,0.053899,"Data not available"
"236","PA","TM9SF2","no hit",-0.9274344,0.0541365,"Data not available"
"237","PA","HSPA4","no hit",-0.7347511,0.0542675,"Data not available"
"238","PA","ITGA6","no hit",0.616065,0.0546545,"Data not available"
"239","PA","DHCR7","no hit",0.8628836,0.0555554,"Data not available"
"240","PA","BPNT1","no hit",-0.5667511,0.0562577,"Data not available"
"241","PA","YWHAH","no hit",-0.7761973,0.0565507,"Data not available"
"242","PA","NMT1","no hit",-1.162087,0.0570214,"Data not available"
"243","PA","RP2","no hit",0.6859755,0.0590441,"Data not available"
"244","PA","CIB1","no hit",0.4424269,0.0602315,"Data not available"
"245","PA","TRIM28","no hit",0.6867347,0.0605151,"Data not available"
"246","PA","MSLN","no hit",0.5925356,0.0607018,"Data not available"
"247","PA","NECTIN2","no hit",0.4771873,0.0613481,"Data not available"
"248","PA","AKR1B1","no hit",-0.7648907,0.0617305,"Data not available"
"249","PA","SLC25A3","no hit",0.8302348,0.0623183,"Data not available"
"250","PA","ADAM10","no hit",0.4694021,0.0627386,"Data not available"
"251","PA","TPD52L2","no hit",-0.7235519,0.0629491,"Data not available"
"252","PA","GTF2I","no hit",0.7782688,0.0631256,"Data not available"
"253","PA","PPIF","no hit",0.9239184,0.0645972,"Data not available"
"254","PA","HMOX2","no hit",0.482978,0.0668045,"Data not available"
"255","PA","GOLT1B","no hit",-0.5355459,0.0676244,"Data not available"
"256","PA","PARK7","no hit",-0.7473461,0.0691631,"Data not available"
"257","PA","ACO2","no hit",0.6691561,0.0696929,"Data not available"
"258","PA","YWHAG","no hit",-0.4642422,0.0697281,"Data not available"
"259","PA","ETFA","no hit",0.7791291,0.0700165,"Data not available"
"260","PA","WDR1","no hit",1.1206443,0.0702509,"Data not available"
"261","PA","SHMT2","no hit",1.1096423,0.071513,"Data not available"
"262","PA","GNG5","no hit",0.5357813,0.0717179,"Data not available"
"263","PA","AP1B1","no hit",-0.4693235,0.0726385,"Data not available"
"264","PA","RAB31","no hit",0.475915,0.0729057,"Data not available"
"265","PA","RBBP4","no hit",0.542319,0.0732154,"Data not available"
"266","PA","ATP1A1","no hit",0.568779,0.0735322,"Data not available"
"267","PA","SDHA","no hit",0.9086139,0.0736665,"Data not available"
"268","PA","POR","no hit",0.6752719,0.0747595,"Data not available"
"269","PA","EIF5A","no hit",-1.3670257,0.0755064,"Data not available"
"270","PA","LIFR","no hit",0.4648637,0.0757462,"Data not available"
"271","PA","MME","no hit",-0.4869324,0.0762257,"Data not available"
"272","PA","ITGA5","no hit",0.6907537,0.0768046,"Data not available"
"273","PA","SFXN1","no hit",0.8439585,0.0772622,"Data not available"
"274","PA","PPA1","no hit",-0.9022483,0.077474,"Data not available"
"275","PA","RAP2C","no hit",0.4012618,0.077979,"Data not available"
"276","PA","GLO1","no hit",-0.9432437,0.0804913,"Data not available"
"277","PA","PA2G4","no hit",-1.0323648,0.0813144,"Data not available"
"278","PA","DSG2","no hit",0.5092099,0.0815305,"Data not available"
"279","PA","LAMC1","no hit",0.5137819,0.0816605,"Data not available"
"280","PA","GSTM3","no hit",-0.7007375,0.0820878,"Data not available"
"281","PA","GOT2","no hit",0.8470544,0.0823144,"Data not available"
"282","PA","SLC43A3","no hit",0.5485201,0.0826897,"Data not available"
"283","PA","OXCT1","no hit",0.659515,0.083171,"Data not available"
"284","PA","CS","no hit",1.4016306,0.0834149,"Data not available"
"285","PA","PRDX1","no hit",-0.8641678,0.0842449,"Data not available"
"286","PA","USP14","no hit",-0.602144,0.0850444,"Data not available"
"287","PA","RMDN1","no hit",0.7151034,0.08528,"Data not available"
"288","PA","PGK1","no hit",-0.7322022,0.0870973,"Data not available"
"289","PA","BUB3","no hit",-0.4248345,0.0872845,"Data not available"
"290","PA","HSP90B1","no hit",0.8768021,0.0874302,"Data not available"
"291","PA","UBXN4","no hit",0.5163635,0.0887183,"Data not available"
"292","PA","CAPZA1","no hit",-0.5595352,0.088927,"Data not available"
"293","PA","ACSL3","no hit",1.0994523,0.0890577,"Data not available"
"294","PA","SLC44A2","no hit",0.8047551,0.0904399,"Data not available"
"295","PA","PEBP1","no hit",-1.0342547,0.0915596,"Data not available"
"296","PA","TRMT10C","no hit",0.7804957,0.0921464,"Data not available"
"297","PA","NEGR1","no hit",0.3925125,0.0943592,"Data not available"
"298","PA","MLEC","no hit",0.5586669,0.0946951,"Data not available"
"299","PA","QARS","no hit",0.3944565,0.0972788,"Data not available"
"300","PA","ENO1","no hit",-0.6567392,0.0973372,"Data not available"
"301","PA","GDA","no hit",-0.6464967,0.0986695,"Data not available"
"302","PA","RPS28","no hit",-0.6225026,0.0987896,"Data not available"
"303","PA","ARFGAP1","no hit",-0.5605887,0.0993044,"Data not available"
"304","PA","ECI1","no hit",0.8083904,0.1000294,"Data not available"
"305","PA","DAG1","no hit",0.6328029,0.1001741,"Data not available"
"306","PA","F11R","no hit",0.6703346,0.1011202,"Data not available"
"307","PA","TUFM","no hit",1.1617206,0.1027527,"Data not available"
"308","PA","HSPA1B|HSPA1A","no hit",-0.4351823,0.1032678,"Data not available"
"309","PA","MAT2A","no hit",-0.6444786,0.1032697,"Data not available"
"310","PA","SLC1A5","no hit",0.4066043,0.1039616,"Data not available"
"311","PA","ALDH3A2","no hit",0.7284483,0.104558,"Data not available"
"312","PA","PRDX3","no hit",1.1454577,0.1060583,"Data not available"
"313","PA","CLINT1","no hit",-1.0843148,0.1061654,"Data not available"
"314","PA","CAPN2","no hit",-0.4646363,0.1093045,"Data not available"
"315","PA","CD59","no hit",0.5405265,0.1099009,"Data not available"
"316","PA","ATL2","no hit",0.5416945,0.1101676,"Data not available"
"317","PA","EIF3M","no hit",-0.5956659,0.1116491,"Data not available"
"318","PA","MYDGF","no hit",0.64111,0.1119904,"Data not available"
"319","PA","CAPRIN1","no hit",-1.1131676,0.113929,"Data not available"
"320","PA","DLD","no hit",0.9607469,0.1139656,"Data not available"
"321","PA","RAN","no hit",-0.3879245,0.1141586,"Data not available"
"322","PA","GIGYF2","no hit",-0.8588753,0.1155944,"Data not available"
"323","PA","DSP","no hit",-0.7004315,0.1169136,"Data not available"
"324","PA","LSS","no hit",0.3643852,0.1178693,"Data not available"
"325","PA","CDH10","no hit",0.5228095,0.1191043,"Data not available"
